标题6,标题链接1,字段1
gray2color.model,https://aistudio.baidu.com/datasetdetail/57015,
人脸关键点检测数据集,https://aistudio.baidu.com/datasetdetail/65189,
汽车大师测试结果,https://aistudio.baidu.com/datasetdetail/1686,
selfie2anime (UGATIT官方数据集)百度顶会论文复现营,https://aistudio.baidu.com/datasetdetail/48778,
train_data,https://aistudio.baidu.com/datasetdetail/33637,
Fish4Knowledge,https://aistudio.baidu.com/datasetdetail/32688,
公文官话数据集,https://aistudio.baidu.com/datasetdetail/76276,
人脸识别最初版,https://aistudio.baidu.com/datasetdetail/12039,
中国山水画数据集,https://aistudio.baidu.com/datasetdetail/64848,
humanseg,https://aistudio.baidu.com/datasetdetail/10908,
weights,https://aistudio.baidu.com/datasetdetail/134103,
video,https://aistudio.baidu.com/datasetdetail/55281,
数据准备和特征工程3-4,https://aistudio.baidu.com/datasetdetail/20514,
无人车车道线检测测试集-复赛,https://aistudio.baidu.com/datasetdetail/3625,
infer_9,https://aistudio.baidu.com/datasetdetail/5435,
YOLO_Insect_PaddlePaddle_Models,https://aistudio.baidu.com/datasetdetail/11924,
常规赛-机器阅读理解数据集,https://aistudio.baidu.com/datasetdetail/1410,
rec_ic15_data,https://aistudio.baidu.com/datasetdetail/34824,
机器学习三,https://aistudio.baidu.com/datasetdetail/131367,
2020 CCF BDCI 遥感影像地块分割_训练集  测试集A榜,https://aistudio.baidu.com/datasetdetail/55844,
口罩检测数据集,https://aistudio.baidu.com/datasetdetail/101583,
人脸识别tjl,https://aistudio.baidu.com/datasetdetail/8321,
ILSVRC2012_val,https://aistudio.baidu.com/datasetdetail/89344,
XSS-Datasets,https://aistudio.baidu.com/datasetdetail/52101,
情感分析fluid,https://aistudio.baidu.com/datasetdetail/818,
AlexNet模型权重,https://aistudio.baidu.com/datasetdetail/72529,
CrowedHuman,https://aistudio.baidu.com/datasetdetail/78673,
保险文本视觉认知问答任务数据集（转换后）,https://aistudio.baidu.com/datasetdetail/83268,
StableDiffusion大模型Model-GuoFeng3.2 Light,https://aistudio.baidu.com/datasetdetail/209541,
2021 CCF BDCI 千言-问题匹配鲁棒性评测-A榜测试集数据,https://aistudio.baidu.com/datasetdetail/104941,
一个ava视频15min帧数据,https://aistudio.baidu.com/datasetdetail/120380,
动漫头像,https://aistudio.baidu.com/datasetdetail/102512,
MOSS语音数据集,https://aistudio.baidu.com/datasetdetail/189180,
蝴蝶20分类数据集,https://aistudio.baidu.com/datasetdetail/66509,
百度之星大赛初赛-人群密度测试集,https://aistudio.baidu.com/datasetdetail/282,
瓶装白酒疵品质检,https://aistudio.baidu.com/datasetdetail/19028,
WHDLD-GAN,https://aistudio.baidu.com/datasetdetail/82195,
mobile-net预训练模型,https://aistudio.baidu.com/datasetdetail/5389,
【官方】第17届全国大学生智能汽车竞赛完全模型组数据集,https://aistudio.baidu.com/datasetdetail/125511,
DeepSort_Paddle,https://aistudio.baidu.com/datasetdetail/59950,
请假理由,https://aistudio.baidu.com/datasetdetail/55782,
中文维基百科语料库,https://aistudio.baidu.com/datasetdetail/104767,
泰坦尼克号幸存者数据集(Titanic Dataset),https://aistudio.baidu.com/datasetdetail/54777,
cvr_train_data,https://aistudio.baidu.com/datasetdetail/205411,
CASIA-FaceV5,https://aistudio.baidu.com/datasetdetail/40723,
titanic_data,https://aistudio.baidu.com/datasetdetail/32349,
Plant Pathology 2021,https://aistudio.baidu.com/datasetdetail/100996,
剧本角色情感识别数据集,https://aistudio.baidu.com/datasetdetail/110628,
infer_3.png,https://aistudio.baidu.com/datasetdetail/1910,
boston_house_prices,https://aistudio.baidu.com/datasetdetail/105306,
人像语义分割数据集,https://aistudio.baidu.com/datasetdetail/59640,
人脸贴图素材,https://aistudio.baidu.com/datasetdetail/57439,
Paddleseg_flask,https://aistudio.baidu.com/datasetdetail/79814,
2020 CCF BDCI 遥感影像地块分割_训练集,https://aistudio.baidu.com/datasetdetail/55400,
paddle-yolov3,https://aistudio.baidu.com/datasetdetail/6935,
脸部表情,https://aistudio.baidu.com/datasetdetail/38279,
hanfu_lora,https://aistudio.baidu.com/datasetdetail/201749,
voc格式的口罩数据集,https://aistudio.baidu.com/datasetdetail/88819,
垃圾40分类,https://aistudio.baidu.com/datasetdetail/38817,
十二生肖,https://aistudio.baidu.com/datasetdetail/70430,
花卉识别数据集,https://aistudio.baidu.com/datasetdetail/6504,
infer_3,https://aistudio.baidu.com/datasetdetail/2394,
bdd100k_四轮车跟踪,https://aistudio.baidu.com/datasetdetail/110399,
眼疾识别,https://aistudio.baidu.com/datasetdetail/19469,
〖李宏毅课程-机器学习〗作业4-语句分类,https://aistudio.baidu.com/datasetdetail/199960,
stop_words_cn,https://aistudio.baidu.com/datasetdetail/43470,
新闻文本标签分类比赛数据集,https://aistudio.baidu.com/datasetdetail/75812,
人脸识别,https://aistudio.baidu.com/datasetdetail/39602,
Cityscapes-gtFine,https://aistudio.baidu.com/datasetdetail/48855,
CIC-IDS-2017,https://aistudio.baidu.com/datasetdetail/58344,
NAFNet普通图像去模糊权重,https://aistudio.baidu.com/datasetdetail/174576,
豆瓣图书推荐数据集,https://aistudio.baidu.com/datasetdetail/7492,
beeorwasp,https://aistudio.baidu.com/datasetdetail/65386,
ppdiffusers模型AbyssOrangeMix3(AOM3),https://aistudio.baidu.com/datasetdetail/192725,
DIV2K,https://aistudio.baidu.com/datasetdetail/55849,
广东电网智慧现场作业挑战赛赛道一：识别佩戴绝缘手套,https://aistudio.baidu.com/datasetdetail/93633,
鸢尾花数据集,https://aistudio.baidu.com/datasetdetail/5423,
cvr_test_data,https://aistudio.baidu.com/datasetdetail/204194,
mini_CULane,https://aistudio.baidu.com/datasetdetail/111458,
常规赛：遥感影像地块分割,https://aistudio.baidu.com/datasetdetail/77571,
负荷预测,https://aistudio.baidu.com/datasetdetail/99426,
无人车车道线检测训练集-初赛,https://aistudio.baidu.com/datasetdetail/1919,
ImageNet-1k 验证集,https://aistudio.baidu.com/datasetdetail/96753,
共享单车数据集,https://aistudio.baidu.com/datasetdetail/133371,
visdrone_coco,https://aistudio.baidu.com/datasetdetail/176741,
PRSA_data,https://aistudio.baidu.com/datasetdetail/55547,
Titanic案例,https://aistudio.baidu.com/datasetdetail/79823,
“中国软件杯”大学生软件设计大赛——龙源风电赛道数据集,https://aistudio.baidu.com/datasetdetail/205286,
OCR比赛测试数据A,https://aistudio.baidu.com/datasetdetail/87750,
原神模型,https://aistudio.baidu.com/datasetdetail/190134,
猫狗大战数据集,https://aistudio.baidu.com/datasetdetail/62,
〖李宏毅课程-机器学习〗作业1-PM2.5预测,https://aistudio.baidu.com/datasetdetail/195519,
det_ic15,https://aistudio.baidu.com/datasetdetail/96799,
车牌识别,https://aistudio.baidu.com/datasetdetail/47142,
LEVIR建筑物变化检测数据集（LEVIR-CD）,https://aistudio.baidu.com/datasetdetail/53795,
智能车2022baseline数据集,https://aistudio.baidu.com/datasetdetail/125507,
Traffic Aerial Images for Vehicle,https://aistudio.baidu.com/datasetdetail/203056,
OCR识别比赛训练数据,https://aistudio.baidu.com/datasetdetail/87746,
上腹部DICOM数据包括多个脏器的Label,https://aistudio.baidu.com/datasetdetail/64579,
关系抽取-semeval,https://aistudio.baidu.com/datasetdetail/78726,
水表的数字表盘分割数据集,https://aistudio.baidu.com/datasetdetail/73852,
手写汉字,https://aistudio.baidu.com/datasetdetail/104023,
mpro_train,https://aistudio.baidu.com/datasetdetail/220139,
mpro_test,https://aistudio.baidu.com/datasetdetail/221048,
roadsign_voc,https://aistudio.baidu.com/datasetdetail/49531,
Oxford-IIIT Pet,https://aistudio.baidu.com/datasetdetail/68468,
PaddleDetection-release-2.1,https://aistudio.baidu.com/datasetdetail/98540,
housing.data,https://aistudio.baidu.com/datasetdetail/58711,
glove源码数据,https://aistudio.baidu.com/datasetdetail/36219,
LIC2023视频语义理解样例数据集,https://aistudio.baidu.com/datasetdetail/142559,
钢铁缺陷检测,https://aistudio.baidu.com/datasetdetail/113944,
垃圾40分类,https://aistudio.baidu.com/datasetdetail/49564,
水果识别数据集,https://aistudio.baidu.com/datasetdetail/137852,
SAC_Maps,https://aistudio.baidu.com/datasetdetail/76150,
手写数字识别,https://aistudio.baidu.com/datasetdetail/262,
CCPD2020 PaddleOCR,https://aistudio.baidu.com/datasetdetail/148343,
stable diffusion大模型，含mijourney12G大模型,https://aistudio.baidu.com/datasetdetail/186783,
目标检测数据集合集,https://aistudio.baidu.com/datasetdetail/103743,
MINIS手写字体,https://aistudio.baidu.com/datasetdetail/85014,
中国民事类案检索数据集C3RD,https://aistudio.baidu.com/datasetdetail/205651,
果蔬图像识别,https://aistudio.baidu.com/datasetdetail/104929,
